Country;ETR Rank;ETR Score;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tonga;83;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuvalu;83;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Africa;83;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anguilla;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Bahamas;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brazil;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Sahara;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Georgia;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;98;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrgyz Republic;98;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint Lucia;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaysia;98;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraguay;98;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palestine;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RÇunion;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russia;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Helena;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seychelles;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turkey;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint Vincent and the Grenadines;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Virgin Islands;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samoa;98;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangladesh;121;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;121;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moldova;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Puerto Rico;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romania;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tokelau;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uruguay;121;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbados;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jamaica;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;129;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint Kitts and Nevis;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North Macedonia;129;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trinidad and Tobago;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunisia;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U.S. Virgin Islands;129;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
